username,rating,text,date,city,company,ct
"{'name': 'Deepak Shah', 'link': 'https://www.google.com/maps/contrib/116126412950925728733?hl=en-US', 'contributor_id': '116126412950925728733', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVfAMiir9gx3_7-4Ns9alnm0gJfO1bBjoxRVedEjKoIBSqlfmo=s120-c-rp-mo-br100', 'reviews': 10, 'photos': 0}",1.0,"Company and ceo were bragging that they have given permanent wfh and changed the page name to bacancy work from anywhere during 2020-2022 but soon they started offices and now all there openings are work from office only. So much cheap publicity done just to get some views and recognition of firm.

So the management says decision of back to office was taken after careful consideration. So the work from anywhere wasn't taken After careful consideration? Why corporates think they can play such tactics while hiring and then start office so employees who do not want to move back will resign and they can reduce their staff with such tactics",8 months ago,Ahmehdabad,Bacancy,
"{'name': 'Kishan Sojitra', 'link': 'https://www.google.com/maps/contrib/114953279708152819593?hl=en-US', 'contributor_id': '114953279708152819593', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWWmhjSH_WJkYzKAxZEtUOP2-TGHNWRlkh-wS7CQQSkq4kva_r5KA=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 43, 'photos': 73}",5.0,"It has been two and a half year working as a senior developer for me here at Bacancy Technology!
I could say it is the best company I have ever worked for so far. The environment they provide feels like home. Best part is you can reach out anyone from management directly and they support you at every step. Bacancy's highest priority is customer satisfaction but not on the cost of employee, this is the company who takes care of it's employees as well as their clients.
Company where you can really enjoy your work!",3 years ago,Ahmehdabad,Bacancy,
"{'name': 'ketan pandya', 'link': 'https://www.google.com/maps/contrib/108172240814447669872?hl=en-US', 'contributor_id': '108172240814447669872', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUAXpo9oX29EmJIKhXIu7_rMTZNPTKmmmA8tq1M2RXtw5j_tZ9d=s120-c-rp-mo-ba7-br100', 'local_guide': True, 'reviews': 278, 'photos': 5848}",5.0,"1. TatvaSoft is located near Rajpath club, also near the famous ISKCON temple, Ahmedabad, Gujarat, India.
2. TatvaSoft is an offshore software development company.
3. It is a Microsoft Solutions Partner company which mainly focuses on delivering advanced IT outsourcing services to almost all countries and businesses irrespective of size of company.
4.It provides services using numerous software development technologies like .NET, Java, Angular, React, SharePoint, PHP etc.",8 months ago,Ahmehdabad,Tatvasoft,
"{'name': 'Param Panara', 'link': 'https://www.google.com/maps/contrib/115300836027472057863?hl=en-US', 'contributor_id': '115300836027472057863', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWiUAgLoZhveERfFc_Cl7LYfXj4PhnZDzfVM7m3x6XlrFava-b6Pw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 119, 'photos': 186}",4.0,"Awesome infrastructure with huge space for everything
Issue is, Ementies like Keyboard and Mouse were not working properly
Also IT should have 2 monitor accessibility for working fast",3 years ago,Ahmehdabad,Tatvasoft,
"{'name': 'Yash Parmar', 'link': 'https://www.google.com/maps/contrib/105662414124432770961?hl=en-US', 'contributor_id': '105662414124432770961', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocL4US51yudaOhG8mLxaiAuY685F12n1J82lf0ee7dqxFWg6sQ=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 26, 'photos': 41}",5.0,Amazing session hosted by Tatvasoft . We learn about the AWS and it’s implementation in beginner level.,a year ago,Ahmehdabad,Tatvasoft,
"{'name': 'Digesh Kamlesh Shaah', 'link': 'https://www.google.com/maps/contrib/113399995022047811734?hl=en-US', 'contributor_id': '113399995022047811734', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjW85MTvgaSh37i6tOOQvWLsv_4_j-vL4RrS_dR49ygqi3aQnnGx=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 40, 'photos': 18}",5.0,"I have been associated with this company for the past two years and I can say that the overall experience has been really good. Things like flexibility and a good working environment matter for employee well-being, and this company provides and takes care of all of these aspects.",a year ago,Ahmehdabad,Tatvasoft,
"{'name': 'Mohit Savaliya', 'link': 'https://www.google.com/maps/contrib/113063442345028420962?hl=en-US', 'contributor_id': '113063442345028420962', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocJZzqsOZM1PX30aempOirODo6BYTz8-5pvL25wrr6zBA5kbbQ=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"It's been more than one and half years here for me and I can say this is the best Place to Work. Work culture is awesome. Everyone is supportive. Company provides good learning opportunities, and excellent project exposure.",2 years ago,Ahmehdabad,Tatvasoft,
"{'name': 'Swati Raiyani', 'link': 'https://www.google.com/maps/contrib/115300424180197882668?hl=en-US', 'contributor_id': '115300424180197882668', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX6YjWRGvNrvt13-jB4_cTs-9vNoZaDqWupQ0PmRN6qpTOFD9_J=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"This is the finest company I've ever worked for due to its incredible culture, the colleagues, and the possibilities. TatvaSoft cares deeply about its employees and gives them opportunities to grow both personally and professionally. I'm glad to be working here.",a year ago,Ahmehdabad,Tatvasoft,
"{'name': 'YANICK', 'link': 'https://www.google.com/maps/contrib/100705428976889010949?hl=en-US', 'contributor_id': '100705428976889010949', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVZBpvQBUwTxuFhlqFPT57A01lXigeO0DPNHZ0OuPOYAztKoH8w=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 6, 'photos': 0}",1.0,"Very annoying Sales Process. Somehow they got my email address and have been bombarding our company with annoying sales emails ever since. Not only are cold emails super unprofessional, but also illegal in Switzerland without the explicit consent of an email signup. Can't recommend this company to anyone!",a year ago,Ahmehdabad,Tatvasoft,
"{'name': 'AALAP JETHWA', 'link': 'https://www.google.com/maps/contrib/116131466938851487662?hl=en-US', 'contributor_id': '116131466938851487662', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXCOMGRB3-Rtv-41GKyIHoFfJDKVLtiAnQ3V_OLYl073iRkIlTw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 106, 'photos': 2}",5.0,"Big infrastructure:5 storeyed build with 2 floor of basements for parking
Work: Nice company to start your career as they train you from very beginning.
Environment: Work culture is friendly and seniors are always helpful.",4 years ago,Ahmehdabad,Tatvasoft,
