username,rating,text,date,city,company
"{'name': 'Map Creator', 'link': 'https://www.google.com/maps/contrib/113380269893421909030?hl=en-US', 'contributor_id': '113380269893421909030', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocK3FGpk-e-ZjC7juhrIOGcnllkthwbV-f_7yVrZNarXdqJTIQ=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 370, 'photos': 1133}",4,"Office is located in a good area; having other offices around it is easy to get interviews done on a lunch break.
The facilities are good; resting room, playing/recreation room and pantry are available all the time.
Pantry has juices, bananas, tea, coffee and all are available.
Many talented people work here.
If not from your work, you can learn from your colleagues.",a year ago,Hyderabad,ServiceNow
"{'name': 'Kakunuri Santhosh Bhardwaj', 'link': 'https://www.google.com/maps/contrib/106882925586690259802?hl=en-US', 'contributor_id': '106882925586690259802', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVdcq7MdIXIncwZHBJHejO7ae6L5kyK9gNN02_xxjice1hZIsELyg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 25, 'photos': 177}",4,Honeywell is a fortune 100 software-industrial company. It has got a great working culture.,5 years ago,Hyderabad,Honeywell
"{'name': 'HP Maity', 'link': 'https://www.google.com/maps/contrib/115935118453701226823?hl=en-US', 'contributor_id': '115935118453701226823', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUxS53bx8EydGfqm7BhXZl0_f2TcwB-Gs92ZaGtrYa2P3lSG1t1nw=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 116, 'photos': 4149}",5,Good place for work. I nice work lofe balance,6 years ago,Hyderabad,Honeywell
"{'name': 'Nagaraju Rachakonda', 'link': 'https://www.google.com/maps/contrib/102980259356335254716?hl=en-US', 'contributor_id': '102980259356335254716', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjX0qcp4A6gIcRQ7YmtsQKFTzqo7LZ5-F3DQHyqYbnnRYZmZU7d-Hg=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 4, 'photos': 28}",5,"A great place to work ..a great importance to innovation.  I have never seen any other company who give so much importance to Health, Safety and Environment. Processes and policies are the backbone of this organization.",7 years ago,Hyderabad,Honeywell
"{'name': 'Sasikanth Paramkusam', 'link': 'https://www.google.com/maps/contrib/113101536981291103821?hl=en-US', 'contributor_id': '113101536981291103821', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXQR7r0SlIxGt_8z3xPEeTUTgicVr5ciKTfSJE53-XANUnifqdpBg=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 220, 'photos': 1588}",4,"magnificent

111 years Old Company

I have been here For Attending and Interview...

Spacious parking Area.

Renewable resources lot of Solar Panels Around.",7 years ago,Hyderabad,Honeywell
"{'name': 'Shivam Tyagi', 'link': 'https://www.google.com/maps/contrib/117491154597282725546?hl=en-US', 'contributor_id': '117491154597282725546', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXyN7QjjKU_e-xJLfY4I4wxbQxvvZNFpZXYMEEvYvYU45dPDn4=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 24, 'photos': 17}",5,"Very good office , had a track inside to walk with lots of trees around , canteen food is not that good , great labs and people are nice .",2 years ago,Hyderabad,Honeywell
"{'name': 'Pratheep Kumar', 'link': 'https://www.google.com/maps/contrib/112339729861820301246?hl=en-US', 'contributor_id': '112339729861820301246', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVCU9ZxZIXPWsN6a2pt-CsuL_zM1CGciygkWdIPqZ20hzEGN1YOXg=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 42, 'photos': 11}",5,"Best place to work. It is a Honeywell own campus. You have separate play grounds, cafetaria and walking strips etc.",7 years ago,Hyderabad,Honeywell
"{'name': 'somesh malla', 'link': 'https://www.google.com/maps/contrib/118267024848787114862?hl=en-US', 'contributor_id': '118267024848787114862', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXHHN-fUxcILPU5LJn6A7cW8Bs-dE1t_0x7VlKDOZw1yDVx-4iWzg=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 97, 'photos': 184}",5,"Nice company, friendly environment,
Opportunities will be provided for the enthusiastic people.
Cafeteria is also there, nice and hygiene food will be provided at reasonable prices.",6 years ago,Hyderabad,Honeywell
"{'name': 'Naveen ganesh', 'link': 'https://www.google.com/maps/contrib/116337807316929344437?hl=en-US', 'contributor_id': '116337807316929344437', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWk-ddpPF22DmDrQXZQbP3J9qcPxwEw2IL8O6Erj3sSUKk8lKI=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 12, 'photos': 3}",5,"It's a engineering development center owned by honeywell international. 4 storey building with open parking, bus stop available. Canteen services are available.",2 years ago,Hyderabad,Honeywell
"{'name': 'G Sunil Kumar', 'link': 'https://www.google.com/maps/contrib/103710084942782870675?hl=en-US', 'contributor_id': '103710084942782870675', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXQUfkADlfvtFaab1_sybDwnzSXCH3sllMp-mK4YjFR1sxcj9EnXQ=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 4, 'photos': 0}",1,"Firstly I am having already a counter offer from other big company so the initial screening HR promised me more 1.5L than the counter offer and informed the office visit is hybrid like 3 days and transport facility until home is provided

On listening all this felt that ValueLabs is good choice and Technical Managerial were done successfully, only HR is left

HR round happend and HR is mentioning same salary as counter offer is provided because of budget crunches (negotiating even for 10 15K reductions), The shuttle transport is provided until office location's nearest metro, and also the Office Visit should be 5 days instead of hybrid which all these reasons are promised before. After listening all this felt very bad and felt as cheated.",a week ago,Hyderabad,ValueLabs
